Country,Continent,Gdp Per Capita,People Fully Vaccinated Per Hundred,Population
Tanzania,Africa,"2,004,428.00",30.00,"45,939,333,186.00"
Thailand,Asia,"13,331,413.00","11,601.00","57,289,741,236.00"
Timor,Asia,"4,868,446.00",926.00,"995,811,375.00"
Togo,Africa,"1,085,228.00",185.00,"6,434,985,678.00"
Tokelau,Oceania,,71.00,"155,952.00"
Tonga,Oceania,"1,882,690.00",757.00,"37,045,373.00"
Trinidad and Tobago,North America,"21,543,540.00","10,323.00","1,051,127,126.00"
Tunisia,Africa,"8,234,616.00","7,948.00","9,059,244,876.00"
Turkey,Asia,"18,897,264.00","15,480.00","63,952,137,472.00"
Turkmenistan,Asia,"3,113,914.00",105.00,"1,162,407,270.00"
Turks and Caicos Islands,North America,,"1,152.00","28,831,110.00"
Tuvalu,Oceania,"639,944.00",146.00,"2,134,575.00"
Uganda,Africa,"1,259,699.00",56.00,"34,965,661,486.00"
Ukraine,Europe,"5,999,739.00","4,420.00","33,034,784,720.00"
United Arab Emirates,Asia,"53,431,026.00","14,846.00","7,932,919,902.00"
United Kingdom,Europe,"31,484,569.00","20,717.00","54,020,034,288.00"
United States,North America,"43,434,582.00","20,205.00","266,664,974,274.00"
Uruguay,South America,"15,413,557.00","22,398.00","2,613,864,000.00"
Uzbekistan,Asia,"4,677,322.00",553.00,"25,383,952,220.00"
Vanuatu,Oceania,"1,484,330.00",229.00,"159,747,712.00"
Vatican,Europe,,,"614,684.00"
Venezuela,South America,"12,542,021.00",547.00,"21,500,005,303.00"
Vietnam,Asia,"4,937,507.00","2,763.00","78,535,063,200.00"
Wallis and Futuna,Oceania,,"1,449.00","5,879,820.00"
Yemen,Asia,"1,067,944.00",12.00,"22,014,241,358.00"
Zambia,Africa,"2,748,492.00",666.00,"14,095,889,465.00"
Zimbabwe,Africa,"1,411,533.00","4,440.00","11,213,483,053.00"
